category_id,category_name,product_id,title,price,main_thumbnail,detail_images,product_url,crawling_dt
195010,국산생수,7869554357,"동원샘물 무라벨 생수, 500ml, 20개",4150,https://thumbnail.coupangcdn.com/thumbnails/remote/492x492ex/image/vendor_inventory/01c3/032030388278f1d41cd181843e384f3537b9d8ca387794a0bc26a79ff9de.jpg,"http://image1.coupangcdn.com/image/vendor_inventory/1ea3/bb5a02187959e346a64e7a4500e0d33731aa7592c45c78be9cf25f1106c8.jpg
http://image1.coupangcdn.com/image/vendor_inventory/f7ed/d37623ee45393212b4bc194f0a5a7f79e74a73492cb5aeea6ecb0b36e34b.jpg",https://www.coupang.com/vp/products/7869554357?itemId=19206839621&vendorItemId=91037010826&sourceType=CATEGORY&categoryId=194910,2026-01-06 17:28:03
497920,탄산수,7419943131,"탐사 아쿠아 스파클링 플레인 무라벨, 6개, 500ml",3290,https://thumbnail.coupangcdn.com/thumbnails/remote/492x492ex/image/retail/images/478382559222423-b19ecc8c-a8ae-420e-a9ce-0d83d2a1afe2.jpg,"https://thumbnail.coupangcdn.com/thumbnails/remote/q89/image/retail/images/465600861947051-d129d6fb-dda7-4385-b0a7-5e237d07dbd1.jpg
https://thumbnail.coupangcdn.com/thumbnails/remote/q89/image/retail/images/33673164257859-fb574423-9037-46b0-b8f8-e709d967f7d0.jpg",https://www.coupang.com/vp/products/7419943131?itemId=20734290853&vendorItemId=87804828923&sourceType=CATEGORY&categoryId=497820,2026-01-06 17:28:14
195080,두유,7852023536,"덴마크 그린덴마크 귀리, 950ml, 1개",2780,https://thumbnail.coupangcdn.com/thumbnails/remote/492x492ex/image/1025_amir_coupang_oct_80k/02a9/56da12128a8010dd2e3ad2b1893dd985062f73c41cade6b6b6fe83d8a5e2.jpg,"https://thumbnail.coupangcdn.com/thumbnails/remote/q89/image/retail/images/1546850209605462-9375cd0f-2bbe-4d17-8397-5013370c1e5c.jpg
https://thumbnail.coupangcdn.com/thumbnails/remote/q89/image/retail/images/3213513858099172-a40f2692-f858-43ef-9f8b-9c506d9e83c2.jpg
https://thumbnail.coupangcdn.com/thumbnails/remote/q89/image/retail/images/42638816048860-673db66f-d8d0-43f6-b110-606772b5c093.jpg",https://www.coupang.com/vp/products/7852023536?itemId=21404107145&vendorItemId=88460687959&sourceType=CATEGORY&categoryId=194980,2026-01-06 17:28:25
195082,일반두유,7852023536,"덴마크 그린덴마크 귀리, 950ml, 1개",2780,https://thumbnail.coupangcdn.com/thumbnails/remote/492x492ex/image/1025_amir_coupang_oct_80k/02a9/56da12128a8010dd2e3ad2b1893dd985062f73c41cade6b6b6fe83d8a5e2.jpg,"https://thumbnail.coupangcdn.com/thumbnails/remote/q89/image/retail/images/1546850209605462-9375cd0f-2bbe-4d17-8397-5013370c1e5c.jpg
https://thumbnail.coupangcdn.com/thumbnails/remote/q89/image/retail/images/3213513858099172-a40f2692-f858-43ef-9f8b-9c506d9e83c2.jpg
https://thumbnail.coupangcdn.com/thumbnails/remote/q89/image/retail/images/42638816048860-673db66f-d8d0-43f6-b110-606772b5c093.jpg",https://www.coupang.com/vp/products/7852023536?itemId=21404107145&vendorItemId=88460687959&sourceType=CATEGORY&categoryId=194982,2026-01-06 17:28:36
195083,검은콩두유,8316219203,"완전두유 검은콩 고칼슘, 190ml, 20개",7770,https://thumbnail.coupangcdn.com/thumbnails/remote/492x492ex/image/1025_amir_coupang_oct_80k/76e2/890a99209efa65b2e2de9a8384797ebd0d9cf51eaecf9ab03b0f9abb0d15.jpg,"https://thumbnail.coupangcdn.com/thumbnails/remote/q89/image/retail/images/3079128803665895-6cef04f7-4c0c-4400-bc28-3c73492220b7.jpg
https://thumbnail.coupangcdn.com/thumbnails/remote/q89/image/rs_quotation_api/6ljmujhb/597244630e3b4a0ab1fe01b6dae6c3bf.PNG",https://www.coupang.com/vp/products/8316219203?itemId=24000467051&vendorItemId=91021327704&sourceType=CATEGORY&categoryId=194983,2026-01-06 17:28:47
195084,아몬드두유,7510980660,"그린덴마크 아몬드, 950ml, 2개",5560,https://thumbnail.coupangcdn.com/thumbnails/remote/492x492ex/image/retail/images/2286812034908496-4438e649-5c71-4b59-ad00-596dc6be5c27.jpg,"https://thumbnail.coupangcdn.com/thumbnails/remote/q89/image/retail/images/1065533788444075-6e56ddd9-03f7-49ef-9f06-3100f752de76.jpg
https://thumbnail.coupangcdn.com/thumbnails/remote/q89/image/retail/images/2286821528099793-7d3e269a-0257-49f0-959b-925c09565e08.jpg
https://thumbnail.coupangcdn.com/thumbnails/remote/q89/image/retail/images/208269484330616-04d31e5c-686d-4b20-a13a-ca7c4aaca4d4.jpg
https://thumbnail.coupangcdn.com/thumbnails/remote/q89/image/retail/images/2286821631876793-915de612-f79d-4c6a-8ebf-d6a125b3f9ce.jpg",https://www.coupang.com/vp/products/7510980660?itemId=19680030236&vendorItemId=86785424750&sourceType=CATEGORY&categoryId=194984,2026-01-06 17:28:57
195085,잡곡두유,1652795,"이롬 황성주 박사의 두유 우리땅 17곡, 190ml, 16개",9290,https://thumbnail.coupangcdn.com/thumbnails/remote/492x492ex/image/retail/images/8053612901737577-bef951c7-a096-4d4f-971d-ec5b0ec867dc.jpg,"https://thumbnail.coupangcdn.com/thumbnails/remote/q89/image/retail/images/1546850209605462-9375cd0f-2bbe-4d17-8397-5013370c1e5c.jpg
https://thumbnail.coupangcdn.com/thumbnails/remote/q89/image/retail/images/6744519700425025-2c1d6576-b253-463a-a130-64fd7ffbdb1e.jpg
https://thumbnail.coupangcdn.com/thumbnails/remote/q89/image/retail/images/205499922199782-2b1cf86d-ce7a-442f-a35b-b732840e99dd.JPG
http://img1a.coupangcdn.com/image/retail/images/1284184137317560-2575a005-d663-449e-851c-81d373aacb3b.png
http://img1a.coupangcdn.com/image/retail/images/691717291047480-59a232c5-9138-4fcc-b513-86f101ba0794.jpg",https://www.coupang.com/vp/products/1652795?itemId=405099441&vendorItemId=3000036298&sourceType=CATEGORY&categoryId=194985,2026-01-06 17:29:08
445905,냉장우유,7748460732,"서울우유 나100% 우유, 500ml, 1개",1920,https://thumbnail.coupangcdn.com/thumbnails/remote/492x492ex/image/rs_quotation_api/d49rpw9u/153273ae0f1f4b05b4532cd74aae2aea.jpg,"http://image11.coupangcdn.com/image/retail/images/20995840886738-a30c9595-cf05-4605-b7ca-6e7245670d85.jpg
https://thumbnail.coupangcdn.com/thumbnails/remote/q89/image/rs_quotation_api/u0rhzdye/50040873407643548c5093952e5e4a49.jpg
https://thumbnail.coupangcdn.com/thumbnails/remote/q89/image/rs_quotation_api/azter66z/9db45c0380be4deb9d9f889cfd539ddf.jpg
http://image11.coupangcdn.com/image/retail/images/690038009120223-99c56fbe-8101-4aaf-9a6e-ae14024768f1.png
http://image11.coupangcdn.com/image/retail/images/690038009120223-99c56fbe-8101-4aaf-9a6e-ae14024768f1.png
http://image11.coupangcdn.com/image/retail/images/690038009120223-99c56fbe-8101-4aaf-9a6e-ae14024768f1.png
http://image11.coupangcdn.com/image/retail/images/690038009120223-99c56fbe-8101-4aaf-9a6e-ae14024768f1.png
https://thumbnail.coupangcdn.com/thumbnails/remote/q89/image/rs_quotation_api/jpqh1vpa/32da7a5841cb46038f1401cd119a2d24.jpg
https://thumbnail.coupangcdn.com/thumbnails/remote/q89/image/rs_quotation_api/dzsold98/9edeaecd9659403ea27a603061c032d2.jpg
https://thumbnail.coupangcdn.com/thumbnails/remote/q89/image/rs_quotation_api/dw8lvbo2/db2d359b5c6a48aa9c54db60e9e2a6a8.jpg
http://image11.coupangcdn.com/image/retail/images/1056770024131040-466efd71-f3c4-49fc-93b3-fe6f2af0f7a6.jpg",https://www.coupang.com/vp/products/7748460732?itemId=25184597699&vendorItemId=92181428216&sourceType=CATEGORY&categoryId=445805,2026-01-06 17:29:20
445906,흰우유,7748460732,"서울우유 나100% 우유, 500ml, 1개",1920,https://thumbnail.coupangcdn.com/thumbnails/remote/492x492ex/image/rs_quotation_api/d49rpw9u/153273ae0f1f4b05b4532cd74aae2aea.jpg,"http://image11.coupangcdn.com/image/retail/images/20995840886738-a30c9595-cf05-4605-b7ca-6e7245670d85.jpg
https://thumbnail.coupangcdn.com/thumbnails/remote/q89/image/rs_quotation_api/u0rhzdye/50040873407643548c5093952e5e4a49.jpg
https://thumbnail.coupangcdn.com/thumbnails/remote/q89/image/rs_quotation_api/azter66z/9db45c0380be4deb9d9f889cfd539ddf.jpg
http://image11.coupangcdn.com/image/retail/images/690038009120223-99c56fbe-8101-4aaf-9a6e-ae14024768f1.png
http://image11.coupangcdn.com/image/retail/images/690038009120223-99c56fbe-8101-4aaf-9a6e-ae14024768f1.png
http://image11.coupangcdn.com/image/retail/images/690038009120223-99c56fbe-8101-4aaf-9a6e-ae14024768f1.png
http://image11.coupangcdn.com/image/retail/images/690038009120223-99c56fbe-8101-4aaf-9a6e-ae14024768f1.png
https://thumbnail.coupangcdn.com/thumbnails/remote/q89/image/rs_quotation_api/jpqh1vpa/32da7a5841cb46038f1401cd119a2d24.jpg
https://thumbnail.coupangcdn.com/thumbnails/remote/q89/image/rs_quotation_api/dzsold98/9edeaecd9659403ea27a603061c032d2.jpg
https://thumbnail.coupangcdn.com/thumbnails/remote/q89/image/rs_quotation_api/dw8lvbo2/db2d359b5c6a48aa9c54db60e9e2a6a8.jpg
http://image11.coupangcdn.com/image/retail/images/1056770024131040-466efd71-f3c4-49fc-93b3-fe6f2af0f7a6.jpg",https://www.coupang.com/vp/products/7748460732?itemId=25184597699&vendorItemId=92181428216&sourceType=CATEGORY&categoryId=445806,2026-01-06 17:29:30
445907,저지방우유,1395024485,"남양유업 맛있는우유GT 고소한 저지방우유, 900ml, 1개",2790,https://thumbnail.coupangcdn.com/thumbnails/remote/492x492ex/image/retail/images/116879452255914-367a7f47-dada-47c3-b8a9-eae177b1bb82.jpg,"http://image11.coupangcdn.com/image/retail/images/20995840886738-a30c9595-cf05-4605-b7ca-6e7245670d85.jpg
https://thumbnail.coupangcdn.com/thumbnails/remote/q89/image/retail/images/88019999442659-90801016-2190-4509-9668-63fadb703bda.jpg
https://thumbnail.coupangcdn.com/thumbnails/remote/q89/image/retail/images/116896561560578-eda91236-b71d-414e-b09a-140bd10cc429.jpg
http://image11.coupangcdn.com/image/retail/images/690038009120223-99c56fbe-8101-4aaf-9a6e-ae14024768f1.png
http://image11.coupangcdn.com/image/retail/images/690038009120223-99c56fbe-8101-4aaf-9a6e-ae14024768f1.png
http://image11.coupangcdn.com/image/retail/images/690038009120223-99c56fbe-8101-4aaf-9a6e-ae14024768f1.png
https://thumbnail.coupangcdn.com/thumbnails/remote/q89/image/retail/images/552579926223808-f37c8093-751f-428d-87a4-cea830a6348c.jpg
https://thumbnail.coupangcdn.com/thumbnails/remote/q89/image/retail/images/88029916690092-63c02b3c-edd9-4c37-beb2-a7547565696d.jpg
https://thumbnail.coupangcdn.com/thumbnails/remote/q89/image/retail/images/16917226355107-b9e2a28c-3ff4-43d6-8f95-e8e4ac5ec20c.jpg
http://image11.coupangcdn.com/image/retail/images/1056770024131040-466efd71-f3c4-49fc-93b3-fe6f2af0f7a6.jpg",https://www.coupang.com/vp/products/1395024485?itemId=17254842239&vendorItemId=84426196052&sourceType=CATEGORY&categoryId=445807,2026-01-06 17:29:42
